MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,1stFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,MoSold,YrSold,SalePrice
50,12822,7,5,2003,2003,1518,2149,1,1,1,6,8,2009,239686
20,11096,8,5,2006,2006,1656,1656,2,3,1,7,7,2007,249700
190,4456,4,5,1920,2008,736,1452,2,2,3,8,6,2009,113000
20,7742,5,7,1966,1966,955,955,1,3,1,6,1,2007,127000
60,13869,6,6,1997,1997,794,1470,2,3,1,6,7,2007,177000
50,6240,6,6,1934,1950,816,1176,1,3,1,6,9,2006,114500
90,8472,5,5,1963,1963,816,816,1,2,1,5,5,2010,110000
20,50271,9,5,1981,1987,1842,1842,0,0,1,5,11,2006,385000
80,7134,5,5,1955,1955,1360,1360,1,3,1,6,2,2007,130000
20,10175,6,5,1964,1964,1425,1425,2,3,1,7,7,2008,180500
160,2645,8,5,1999,2000,983,1739,2,3,1,7,8,2009,172500
60,11645,7,5,2004,2004,860,1720,2,3,1,7,8,2006,196500
60,13682,10,5,2006,2006,1426,2945,3,3,1,10,10,2006,438780
20,7200,5,7,1972,1972,780,780,1,2,1,4,1,2008,124900
20,13072,6,5,2004,2004,1158,1158,1,3,1,5,5,2006,158000
75,7200,5,7,1920,1996,581,1111,1,3,1,6,3,2007,101000
120,6442,8,5,2006,2006,1370,1370,2,2,1,6,10,2007,202500
70,10300,7,6,1921,1950,902,1710,2,3,1,9,4,2010,140000
60,9375,7,5,1997,1998,1057,2034,2,3,1,8,2,2009,219500
60,9591,8,5,2004,2005,1143,2473,2,4,1,9,10,2007,317000
20,19900,7,5,1970,1989,2207,2207,2,3,1,7,7,2010,180000
20,10665,7,5,2003,2003,1479,1479,2,3,1,7,6,2007,226000
30,4608,4,6,1945,1950,747,747,1,2,1,4,6,2010,80000
50,15593,7,4,1953,1953,1304,2287,2,3,1,7,7,2006,225000
20,13651,7,6,1973,1973,2223,2223,2,3,1,8,2,2007,244000
20,7599,4,6,1982,2006,845,845,1,2,1,4,6,2007,129500
60,10141,7,5,1998,1998,885,1718,2,3,1,7,12,2009,185000
20,10200,5,7,1954,2003,1086,1086,1,3,1,6,5,2010,144900
50,5790,3,6,1915,1950,840,1605,2,3,2,8,5,2010,107400
180,1596,4,5,1973,1973,526,988,1,2,1,5,11,2009,91000
20,8475,4,7,1956,1956,952,952,1,2,1,4,4,2008,135750
50,8635,5,5,1948,2001,1072,1285,1,2,1,6,1,2008,127000
90,10778,4,5,1968,1968,1768,1768,2,4,2,8,4,2010,136500
50,10440,5,6,1910,1981,682,1230,1,2,1,5,5,2009,110000
60,13000,6,6,1968,1968,1182,2142,2,4,1,8,6,2009,193500
120,4500,6,5,1998,1998,1337,1337,2,2,1,5,3,2006,153500
20,10206,8,5,2007,2007,1563,1563,2,3,1,6,10,2008,245000
20,8892,5,5,1960,1960,1065,1065,1,3,1,6,7,2007,126500
80,8530,7,5,1995,1996,804,1474,2,3,1,7,5,2009,168500
60,16059,8,5,1991,1992,1301,2417,2,4,1,9,4,2006,260000
60,11911,6,5,2005,2005,684,1560,2,3,1,6,3,2009,174000
160,3951,6,5,2009,2009,612,1224,2,2,1,4,6,2009,164500
50,8470,3,2,1915,1982,1013,1526,1,2,1,6,10,2009,85000
20,8070,4,5,1994,1995,990,990,1,3,1,5,8,2007,123600
20,7200,4,5,1950,1950,1040,1040,1,2,1,4,7,2006,109900
20,8500,5,3,1961,1961,1235,1235,1,2,1,6,12,2006,98600
30,13360,5,7,1921,2006,964,964,1,2,1,5,8,2009,163500
190,7200,6,6,1910,1998,1260,2291,2,4,2,9,11,2007,133900
60,9337,6,5,1997,1997,905,1786,2,3,1,7,5,2007,204750
60,9765,6,8,1993,1993,680,1470,2,3,1,6,4,2009,185000
20,10264,7,5,1999,1999,1588,1588,2,3,1,6,8,2006,214000
20,10921,4,5,1965,1965,960,960,1,3,1,6,5,2007,94750
30,10625,5,5,1920,1950,835,835,1,2,1,5,5,2010,83000
20,9320,4,5,1959,1959,1225,1225,1,3,1,6,1,2010,128950
20,10603,6,7,1977,2001,1610,1610,2,3,1,6,2,2010,205000
60,9206,6,5,1985,1985,977,1732,2,3,1,7,6,2010,178000
90,7018,5,5,1979,1979,1535,1535,2,4,2,8,6,2009,118964
20,10402,7,5,2009,2009,1226,1226,2,3,1,6,5,2010,198900
50,7758,7,4,1931,1950,1226,1818,1,4,1,7,6,2007,169500
60,9375,8,5,2003,2004,1053,1992,2,3,1,9,8,2008,250000
30,10800,4,7,1885,1995,1047,1047,1,2,1,6,8,2007,100000
20,6000,5,5,1948,1950,789,789,1,2,1,5,4,2008,115000
50,8500,5,7,1919,2005,997,1517,2,3,1,7,8,2007,115000
20,11751,6,6,1977,1977,1844,1844,2,3,1,7,1,2010,190000
50,9525,6,4,1954,1972,1216,1855,2,4,1,7,10,2006,136900
80,7750,7,5,2000,2000,774,1430,2,3,1,7,4,2010,180000
60,9965,7,5,2007,2007,1282,2696,2,4,1,10,10,2007,383970
20,21000,6,5,1953,1953,2259,2259,2,3,1,7,10,2007,217000
70,7259,6,8,1945,2002,1436,2320,2,3,1,9,7,2007,259500
160,3230,6,5,1999,1999,729,1458,2,2,1,5,6,2007,176000
20,11616,5,5,1962,1962,1092,1092,1,3,1,6,9,2009,139000
20,8536,5,5,2006,2007,1125,1125,1,2,1,5,4,2007,155000
60,12376,7,5,1990,1990,1699,3222,3,5,1,11,5,2010,320000
60,8461,6,5,2005,2006,728,1456,2,3,1,8,7,2006,163990
80,21453,6,5,1969,1969,988,988,1,1,1,4,10,2006,180000
50,6060,4,5,1939,1950,772,1123,1,3,1,4,6,2007,100000
20,9464,6,7,1958,1958,1080,1080,1,3,1,5,6,2008,136000
120,7892,6,5,1993,1993,1199,1199,2,2,1,5,3,2008,153900
20,17043,6,5,1979,1998,1586,1586,2,3,1,7,1,2009,181000
190,6780,6,8,1935,1982,520,754,1,2,1,5,6,2006,84500
120,4928,6,5,1976,1976,958,958,2,2,1,5,2,2007,128000
45,4388,5,7,1930,1950,840,840,1,3,1,5,6,2007,87000
60,7590,6,5,1966,1966,660,1348,1,3,1,6,7,2006,155000
20,8973,5,7,1958,1991,1053,1053,1,3,1,6,7,2006,150000
60,14200,7,6,1966,1966,1216,2157,2,4,1,8,5,2006,226000
60,12224,6,5,2000,2000,1022,2054,2,3,1,7,7,2009,244000
20,7388,5,6,1959,2002,1327,1327,1,3,1,7,7,2007,150750
20,6853,8,5,2001,2002,1296,1296,2,2,1,6,6,2009,220000
20,10335,5,6,1968,1993,1721,1721,2,3,1,7,7,2006,180000
20,10400,7,6,1970,1970,1682,1682,2,3,1,7,5,2008,174000
20,10355,5,5,1967,1967,1214,1214,2,3,1,5,7,2007,143000
90,11070,7,5,1988,1989,1959,1959,3,5,2,9,7,2006,171000
60,9066,8,5,1999,2000,1004,1852,2,3,1,7,12,2008,230000
60,15426,6,5,1997,1997,928,1764,2,3,1,7,8,2009,231500
20,10500,4,5,1971,1971,864,864,1,3,1,5,4,2010,115000
20,11645,7,5,2005,2005,1734,1734,2,3,1,7,1,2006,260000
50,8520,5,4,1952,1952,910,1385,2,4,1,6,6,2010,166000
20,10335,7,5,1999,1999,1501,1501,2,3,1,6,6,2009,204000
90,9100,5,5,1963,1963,1728,1728,2,6,2,10,11,2006,125000
160,2522,6,5,2004,2006,970,1709,2,3,1,7,4,2006,130000
30,6120,5,7,1931,1993,875,875,1,2,1,5,11,2009,105000
60,9505,7,5,2001,2001,884,2035,2,3,1,8,5,2010,222500
20,7500,7,5,2004,2005,1080,1080,1,3,1,6,4,2008,141000
50,6240,5,4,1936,1950,896,1344,1,3,1,7,4,2006,115000
20,10356,5,6,1975,1975,969,969,1,3,1,5,1,2007,122000
20,13891,8,5,2007,2008,1710,1710,2,2,1,6,1,2008,372402
60,14803,6,5,1971,1971,1097,1993,2,4,1,8,6,2006,190000
20,13500,6,7,1960,1975,1252,1252,1,1,1,4,3,2008,235000
30,11340,6,5,1923,1950,1200,1200,1,4,1,7,3,2006,125000
50,9600,6,5,1924,1950,572,1096,1,2,1,5,4,2008,79000
20,7200,5,7,1950,1950,1040,1040,1,2,1,5,6,2006,109500
60,12003,8,5,2009,2010,774,1968,2,4,1,8,5,2010,269500
60,12552,7,5,2004,2005,991,1947,2,3,1,8,5,2010,254900
60,19378,7,5,2005,2006,1392,2462,2,4,1,9,3,2006,320000
20,11120,6,6,1984,1984,1232,1232,2,3,1,6,6,2008,162500
60,13688,9,5,2003,2004,1572,2668,2,3,1,10,3,2008,412500
20,12182,7,5,2005,2005,1541,1541,2,3,1,7,5,2010,220000
45,5500,4,6,1956,1956,882,882,1,1,1,4,4,2007,103200
40,5400,6,7,1926,2004,1149,1616,2,3,1,5,10,2007,152000
190,10106,5,7,1940,1999,808,1355,2,4,2,6,9,2008,127500
20,10708,5,5,1955,1993,1867,1867,1,2,1,7,11,2009,190000
60,10562,8,5,2007,2007,1610,2161,1,3,1,8,11,2007,325624
60,8244,7,5,2004,2004,840,1720,2,3,1,7,5,2007,183500
20,16669,8,6,1981,1981,1707,1707,2,2,1,6,1,2006,228000
50,12358,5,6,1941,1950,854,1382,1,2,1,7,5,2007,128500
20,31770,6,5,1960,1960,1656,1656,1,3,1,7,5,2010,215000
160,5306,7,7,1987,1987,1064,1767,2,2,1,5,6,2006,239000
20,10197,6,5,1961,1961,1362,1362,1,3,1,6,6,2008,163000
20,12416,6,5,1986,1986,1651,1651,2,3,1,7,11,2008,184000
20,12615,6,7,1950,2001,2158,2158,2,4,1,7,6,2007,243000
60,10029,6,5,1988,1989,1164,2060,2,4,1,8,9,2007,211000
50,13650,5,5,1958,1958,1252,1920,2,4,1,8,7,2006,172500
20,17423,9,5,2008,2009,2234,2234,2,1,1,9,7,2009,501837
30,8520,5,6,1923,2006,968,968,1,2,1,5,7,2007,100000
160,2117,6,5,2000,2000,769,1525,2,3,1,5,6,2007,177000
70,7588,7,6,1920,1950,901,1802,1,4,1,9,7,2006,200100
20,9060,5,6,1957,2006,1340,1340,1,3,1,7,6,2007,120000
50,11426,7,5,2003,2003,1362,2082,2,3,1,6,6,2008,200000
50,7438,5,8,1908,1991,936,1252,1,3,1,5,6,2006,127000
75,22950,10,9,1892,1993,1518,3608,2,4,1,12,6,2006,475000
80,9947,7,5,1990,1991,1217,1217,2,3,1,6,6,2009,173000
50,10410,5,7,1916,1987,808,1656,2,3,1,8,8,2009,135000
90,7018,5,5,1979,1979,1224,1224,0,2,2,6,6,2009,153337
120,4923,8,5,2001,2002,1593,1593,1,0,1,5,8,2008,286000
70,10570,8,8,1932,1994,1549,2727,2,3,1,10,12,2007,315000
60,7472,7,9,1972,2004,725,1479,1,4,1,7,6,2007,184000
20,9017,7,5,1999,1999,1431,1431,2,3,1,6,9,2009,192000
160,2522,7,5,2004,2004,970,1709,2,3,1,7,5,2006,130000
20,7180,5,7,1972,1972,864,864,1,3,1,5,5,2008,127000
160,2280,6,6,1976,1976,855,1456,2,3,1,7,7,2009,148500
20,9416,7,5,2007,2007,1726,1726,2,3,1,8,9,2007,311872
75,25419,8,4,1918,1990,1360,3112,2,4,1,8,3,2006,235000
75,5520,6,6,1912,1950,929,2229,1,5,1,8,7,2009,104000
20,9591,8,5,2004,2005,1713,1713,2,3,1,7,1,2009,274900
20,8546,4,5,2003,2004,1121,1121,2,2,1,5,3,2010,140000
20,10125,6,6,1977,1977,1279,1279,2,3,1,6,2,2008,171500
50,7000,6,6,1924,1950,865,1310,2,2,1,6,5,2006,112000
120,4438,6,5,2004,2004,848,848,1,1,1,3,1,2008,149000
50,3500,5,7,1947,1950,720,1284,1,2,1,5,4,2009,110000
20,11851,7,5,1990,1990,1442,1442,2,3,1,5,5,2009,180500
20,13673,5,5,1962,1962,1696,1696,1,3,1,8,3,2007,143900
20,12493,4,5,1960,1960,1100,1100,1,3,1,6,4,2008,141000
60,14364,7,5,1988,1989,1180,2062,2,3,1,7,4,2007,277000
20,8250,6,7,1964,1964,1092,1092,1,3,1,6,7,2008,145000
30,5604,5,6,1925,1950,864,864,1,2,1,5,4,2008,98000
20,10420,6,5,2009,2009,1212,1212,2,3,1,6,3,2010,186000
60,8640,7,5,2009,2009,932,1852,2,3,1,7,7,2009,252678
20,13568,5,5,1995,1995,990,990,1,3,1,5,7,2006,156000
60,10900,6,7,1977,1977,689,1392,1,3,1,6,3,2010,161750
20,10011,5,6,1957,1996,1236,1236,1,2,1,6,5,2006,134450
20,8450,7,5,2004,2004,1436,1436,2,3,1,8,4,2008,210000
70,9906,4,4,1925,1950,810,1328,1,3,1,8,9,2006,107000
50,15660,7,9,1939,2006,1137,1954,1,3,1,8,5,2008,311500
120,3010,7,5,2005,2006,1248,1248,2,2,1,5,3,2006,167240
20,8990,7,5,2006,2006,1498,1498,2,2,1,5,4,2006,204900
60,8068,6,5,2002,2002,1010,2267,2,4,1,8,12,2009,200000
60,11475,6,6,1975,1975,811,1552,2,3,1,6,2,2006,179900
20,10500,4,6,1971,1971,864,864,1,2,1,4,3,2009,97000
20,13472,10,5,2003,2003,2392,2392,2,3,1,8,6,2009,386250
160,1680,5,5,1971,1971,630,1302,2,3,1,6,5,2009,112000
60,9950,7,5,1995,1995,1214,2520,2,4,1,9,6,2007,290000
160,1869,6,6,1970,1970,483,987,1,2,1,5,9,2008,106000
20,8521,5,5,1967,1967,912,912,1,3,1,5,5,2010,125000
120,3182,7,5,2005,2006,1555,1555,2,2,1,7,5,2009,192500
20,8760,6,6,1959,1959,1194,1194,1,3,1,6,4,2010,148000
60,15138,8,5,1995,1996,1490,2794,2,4,1,9,7,2009,403000
160,1680,6,5,1972,1972,483,987,1,2,1,5,6,2006,94500
20,10650,5,6,1976,1976,894,894,1,3,1,5,2,2010,128200
60,7851,6,5,2002,2002,860,1960,2,4,1,8,5,2010,216500
160,1680,6,3,1971,1971,483,987,1,2,1,5,8,2008,89500
20,8773,7,5,2004,2004,1414,1414,2,3,1,6,5,2010,185500
60,9453,7,7,1993,2003,1014,1744,2,3,1,7,2,2010,194500
20,12030,8,5,2007,2007,1694,1694,2,3,1,7,12,2007,318000
50,8741,6,4,1945,1950,798,1487,1,3,1,7,4,2010,113000
20,9000,8,5,2008,2008,1566,1566,2,3,1,7,4,2010,262500
30,3880,5,9,1945,1997,866,866,1,2,1,4,8,2007,110500
50,5000,5,4,1900,1950,889,1440,1,3,1,6,4,2006,79000
160,10762,6,6,1980,1980,626,1217,1,3,1,6,4,2009,120000
60,8880,7,5,1994,2002,1222,2110,2,3,1,8,5,2010,205000
20,10400,7,5,1988,1988,1872,1872,2,3,1,6,6,2006,241500
190,9142,6,8,1910,1950,908,1928,2,4,2,9,4,2006,137000
20,11310,6,5,1954,1954,1375,1375,1,2,1,5,6,2006,140000
60,11317,7,5,2003,2003,840,1668,2,3,1,8,9,2007,180000
50,159000,6,7,1958,2006,1444,2144,2,4,1,7,6,2007,277000
30,5350,3,2,1940,1966,1306,1306,1,3,1,6,5,2010,76500
120,4750,8,5,2006,2007,1625,1625,2,2,1,5,12,2007,235000
60,8366,6,5,2004,2004,798,1640,2,3,1,6,12,2008,173000
80,9350,6,7,1964,1991,1302,1302,2,3,1,7,10,2007,158000
20,8400,5,6,1957,1957,1314,1314,1,3,1,5,6,2010,145000
60,8738,7,5,1999,1999,1005,2291,2,4,1,8,2,2006,230000
60,8791,6,5,2003,2003,864,1728,2,3,1,7,5,2008,207500
20,8814,7,5,2006,2006,1604,1604,2,3,1,8,3,2009,220000
60,12435,7,5,2001,2001,963,1792,2,3,1,7,5,2008,231500
20,12702,5,5,1956,1956,882,882,1,2,1,4,12,2008,97000
80,19296,6,5,1962,1962,1382,1382,1,3,1,6,5,2009,176000
60,9588,8,5,2007,2007,1482,2574,2,3,1,10,11,2007,276000
80,8471,6,7,1977,1995,1212,1212,1,3,1,6,7,2006,151000
50,5500,5,7,1929,2001,926,1316,1,3,1,6,4,2010,130000
30,5232,5,5,1925,2004,764,764,1,2,1,4,6,2008,73000
20,12090,6,6,1981,1981,1422,1422,2,3,1,7,6,2008,175500
60,11207,6,5,1997,1997,802,1511,2,3,1,8,6,2006,185000
75,8400,5,8,1939,1997,1052,2192,2,4,1,8,7,2008,179500
30,6900,5,6,1940,1955,778,778,1,2,1,4,2,2008,120500
20,7917,6,7,1976,1976,1113,1113,1,3,1,6,5,2007,148000
60,10728,8,5,2006,2006,1095,1939,2,3,1,8,8,2006,266000
20,39104,7,7,1954,2005,1363,1363,1,2,1,5,4,2008,241500
60,11764,8,7,1999,2007,1164,2270,2,4,1,9,4,2010,290000
20,9600,6,6,1958,1988,1632,1632,2,3,1,6,4,2009,139000
20,8314,5,7,1982,1982,816,816,1,2,1,5,6,2007,124500
50,7264,7,7,1925,2007,952,1548,2,3,1,5,10,2009,205000
20,9196,7,5,2003,2003,1560,1560,2,3,1,7,4,2010,201000
20,19138,4,5,1951,1951,864,864,1,2,1,4,6,2010,141000
20,14450,9,5,2006,2007,2121,2121,2,3,1,8,5,2007,415298
60,10005,7,5,1977,1977,1156,2022,2,4,1,8,3,2008,192000
60,11287,7,6,1989,1989,1175,1982,2,3,1,7,1,2007,228500
20,7200,6,5,2006,2006,1262,1262,2,2,1,5,5,2006,185000
120,5063,7,5,2007,2008,1314,1314,2,2,1,6,4,2009,207500
20,9612,8,5,2008,2009,1468,1468,2,3,1,6,12,2009,244600
120,8012,6,5,1992,1992,1575,1575,2,2,1,5,7,2007,179200
160,4251,7,5,2006,2007,625,1250,2,2,1,5,6,2007,164700
50,9786,6,7,1962,1981,1085,1734,1,3,1,7,6,2006,159000
20,8125,4,4,1971,1971,858,858,1,3,1,5,6,2006,88000
20,9819,5,5,1967,1967,900,900,1,3,1,5,2,2010,122000
70,8730,6,7,1915,2003,698,1396,1,3,1,7,7,2007,153575
60,15611,8,5,2006,2006,1079,1919,2,3,1,8,7,2006,233230
190,5687,5,6,1912,2000,936,1716,2,6,1,9,3,2008,135900
50,11409,5,4,1949,2008,1148,1716,1,3,1,8,1,2009,131000
60,16659,7,7,1977,1994,1468,2263,2,3,1,9,3,2006,235000
20,9600,6,5,1953,1953,1644,1644,1,3,1,7,10,2009,167000
80,7937,6,6,1984,1984,1003,1003,1,3,1,6,3,2006,142500
50,13710,5,5,1950,1950,910,1558,1,4,1,6,6,2007,152000
60,7399,7,5,1997,1998,975,1950,2,3,1,7,6,2007,239000
60,11700,6,6,1968,1968,1041,1743,1,3,1,7,6,2007,175000
20,14000,6,8,1950,2004,1152,1152,1,3,1,6,8,2009,158500
190,15750,5,5,1953,1953,1336,1336,1,2,1,5,6,2006,157000
60,16226,8,5,1998,1999,1210,2452,2,4,1,9,5,2007,267000
20,13704,7,5,2001,2002,1541,1541,2,3,1,6,1,2006,205000
20,9800,5,7,1972,1972,894,894,1,3,1,5,7,2006,149900
75,18386,7,9,1880,2002,1675,3493,3,3,1,10,5,2008,295000
20,10386,8,5,2004,2005,2000,2000,2,3,1,8,7,2007,305900
60,13474,7,5,1990,1991,1122,2243,2,4,1,8,6,2007,225000
50,7920,6,7,1920,1950,1035,1406,1,3,1,6,3,2008,89500
30,12342,4,5,1940,1950,861,861,1,1,1,4,3,2009,82500
20,12378,9,5,2003,2004,1944,1944,2,3,1,8,11,2006,360000
60,7685,6,5,1993,1994,697,1501,2,3,1,6,5,2006,165600
20,8000,6,6,1948,2002,972,972,1,2,1,5,5,2009,132000
190,7800,5,7,1939,1950,793,1118,1,3,1,5,5,2006,119900
20,215245,7,5,1965,1965,2036,2036,2,3,1,8,6,2009,375000
70,9600,7,7,1925,1990,832,1641,1,3,1,6,8,2006,178000
60,7795,7,5,2004,2005,716,1432,2,3,1,6,7,2009,188500
60,13005,7,7,1980,1980,1153,2353,2,4,1,10,8,2009,260000
60,9000,8,5,2006,2006,1088,1959,2,3,1,8,12,2007,270000
60,9900,7,5,1993,1993,1372,2646,2,4,1,9,4,2009,260000
80,14115,7,5,1980,1980,1472,1472,2,3,1,6,6,2009,187500
60,16259,9,5,2006,2006,1249,2596,3,4,1,9,9,2006,342643
60,12099,8,5,2004,2004,1136,2468,2,4,1,10,6,2007,354000
60,10380,7,5,1986,1987,1553,2730,2,4,1,8,8,2007,301000
20,5820,3,8,1955,2005,1163,1163,1,3,1,6,7,2006,126175
80,11275,7,7,1967,2007,1898,2978,2,5,1,11,6,2010,242000
45,5000,5,6,1941,1950,803,803,1,2,1,5,12,2007,87000
120,10846,8,5,1993,1993,1719,1719,1,1,1,6,5,2008,324000
20,11600,6,5,1960,1960,1383,1383,1,3,1,7,4,2006,145250
75,11888,6,6,1916,1994,1445,2134,2,5,1,10,7,2009,214500
70,6402,5,5,1920,1950,596,1192,1,3,1,6,7,2009,78000
90,10624,5,4,1964,1964,1728,1728,2,6,2,10,11,2007,119000
20,8176,5,6,1958,1992,1056,1056,1,3,1,6,8,2007,139000
20,10655,8,5,2003,2004,1629,1629,2,3,1,7,10,2009,284000
120,8198,7,5,2004,2004,1358,1358,2,2,1,6,7,2008,207000
60,9042,6,5,1998,1998,943,1638,2,3,1,7,7,2008,192000
190,164660,5,6,1965,1965,1619,1786,2,3,1,7,8,2008,228950
20,14157,9,5,2005,2006,1922,1922,2,3,1,8,7,2007,377426
20,9135,7,5,2002,2003,1536,1536,2,3,1,7,12,2008,214000
20,14145,7,7,1984,1998,1621,1621,2,3,1,8,5,2006,202500
20,12400,6,7,1958,1998,1215,1215,1,3,1,6,6,2009,155000
60,14191,8,5,2002,2002,993,1908,2,4,1,9,4,2010,202900
20,8400,4,4,1950,1950,841,841,1,2,1,4,9,2009,82000
90,8544,3,4,1949,1950,1040,1040,2,2,2,6,5,2006,87500
120,8849,9,5,2005,2005,1684,1684,2,2,1,6,7,2008,266000
160,2592,5,3,1976,1976,536,1112,1,3,1,4,4,2010,85000
50,6435,6,5,1939,1950,972,1577,1,3,1,6,10,2006,140200
20,12772,6,8,1960,1998,958,958,1,2,1,5,4,2007,151500
20,17600,6,5,1960,1960,1478,1478,2,3,1,6,12,2009,157500
160,2448,7,5,2003,2004,764,1626,2,2,1,6,10,2008,154000
60,20431,9,5,2005,2006,1848,2728,2,4,1,10,4,2006,437154
120,7820,9,5,2007,2007,1869,1869,2,2,1,6,12,2007,318061
120,5271,7,5,1986,1986,1453,1453,1,2,1,6,12,2006,190000
50,9084,5,6,1941,1950,616,1111,1,3,1,5,3,2008,95000
30,8520,6,8,1928,2003,720,720,1,2,1,5,5,2010,105900
50,8400,6,5,1940,2000,1192,1595,1,2,1,6,6,2006,140000
20,11249,6,5,1995,1995,1200,1200,2,3,1,6,8,2007,177500
20,9248,6,6,1992,1992,1167,1167,2,3,1,6,7,2009,173000
120,4224,5,5,1976,1976,1142,1142,1,3,1,6,8,2007,134000
80,6930,5,4,1958,1958,1352,1352,1,3,1,6,7,2006,130000
60,12011,8,5,1998,1998,1086,1924,2,3,1,7,6,2006,280000
85,7540,6,6,1978,1978,912,912,1,2,1,5,6,2007,156000
50,9144,5,5,1940,1982,988,1505,1,3,1,8,7,2008,145000
85,7301,7,5,2003,2003,495,1922,3,4,1,7,7,2009,198500
160,1680,6,8,1972,2007,483,987,1,2,1,5,5,2009,118000
60,18800,6,5,1976,1976,790,1574,2,3,1,6,7,2006,190000
70,10690,5,7,1920,1997,672,1344,1,3,1,6,7,2009,147000
20,9500,6,5,1963,1963,1394,1394,1,3,1,6,7,2009,159000
80,9150,6,5,1962,1962,1431,1431,1,3,1,6,12,2008,165000
20,7800,5,6,1954,1954,1268,1268,1,2,1,7,3,2010,132000
20,9830,5,7,1959,2006,1287,1287,1,3,1,7,3,2010,162000
60,8121,6,5,2000,2000,953,1664,2,3,1,7,1,2006,172400
50,17120,4,4,1959,1959,1120,1588,2,4,1,7,7,2008,134432
120,7175,6,5,1984,1984,752,752,1,2,1,4,2,2010,125000
20,10634,5,6,1953,1953,1319,1319,1,3,1,5,11,2009,123000
60,8200,7,5,2003,2004,847,1928,2,4,1,8,7,2007,219500
30,10020,1,1,1922,1950,904,904,0,1,1,4,3,2009,61000
85,8846,5,5,1996,1996,914,914,1,2,1,5,7,2006,148000
